구분	일자	일시	차량구분	위도	경도
RM	2024-11-30	00:01:20.00	1222985050	36.46202139	127.276846
RM	2024-11-30	00:01:20.00	1222985050	36.46245744	127.2763958
RM	2024-11-30	00:01:20.00	1222985050	36.46200511	127.2768623
RM	2024-11-30	00:01:20.00	1222985050	36.4624444	127.2764094
RM	2024-11-30	00:01:20.00	1222985050	36.46199058	127.2768786
RM	2024-11-30	00:01:20.00	1222985050	36.46243158	127.2764227
RM	2024-11-30	00:01:20.00	1222985050	36.46197553	127.2768935
RM	2024-11-30	00:01:20.00	1222985050	36.46241851	127.2764363
RM	2024-11-30	00:01:20.00	1222985050	36.46195946	127.2769114
RM	2024-11-30	00:01:20.00	1222985050	36.46240672	127.2764485
RM	2024-11-30	00:01:20.00	1222985050	36.46194449	127.276927
RM	2024-11-30	00:01:20.00	1222985050	36.46239386	127.2764619
RM	2024-11-30	00:01:20.00	1222985050	36.46192879	127.2769444
RM	2024-11-30	00:01:20.00	1222985050	36.46238077	127.2764754
RM	2024-11-30	00:01:20.00	1222985050	36.46191338	127.2769594
RM	2024-11-30	00:01:20.00	1222985050	36.46236787	127.2764888
RM	2024-11-30	00:01:20.00	1222985050	36.46189726	127.2769761
RM	2024-11-30	00:01:20.00	1222985050	36.46235474	127.2765023
RM	2024-11-30	00:01:20.00	1222985050	36.46188057	127.2769935
RM	2024-11-30	00:01:20.00	1222985050	36.4623418	127.2765155
RM	2024-11-30	00:01:20.00	1222985050	36.461867	127.2770087
RM	2024-11-30	00:01:20.00	1222985050	36.46232991	127.2765277
RM	2024-11-30	00:01:20.00	1222985050	36.46184992	127.2770273
RM	2024-11-30	00:01:20.00	1222985050	36.46231671	127.2765412
RM	2024-11-30	00:01:20.00	1222985050	36.46183632	127.2770418
RM	2024-11-30	00:01:20.00	1222985050	36.46230377	127.2765545
RM	2024-11-30	00:01:20.00	1222985050	36.46181984	127.2770613
RM	2024-11-30	00:01:20.00	1222985050	36.46229189	127.2765667
RM	2024-11-30	00:01:20.00	1222985050	36.46180479	127.2770775
RM	2024-11-30	00:01:20.00	1222985050	36.4622787	127.2765802
RM	2024-11-30	00:01:20.00	1222985050	36.46178868	127.277097
RM	2024-11-30	00:01:20.00	1222985050	36.4622657	127.2765934
RM	2024-11-30	00:01:20.00	1222985050	36.46225383	127.2766055
RM	2024-11-30	00:01:20.00	1222985050	36.4622406	127.276619
RM	2024-11-30	00:01:20.00	1222985050	36.46222763	127.2766323
RM	2024-11-30	00:01:20.00	1222985050	36.46221578	127.2766445
RM	2024-11-30	00:01:20.00	1222985050	36.46220267	127.2766581
RM	2024-11-30	00:01:20.00	1222985050	36.4621898	127.2766714
RM	2024-11-30	00:01:20.00	1222985050	36.462178	127.2766836
RM	2024-11-30	00:01:20.00	1222985050	36.46216487	127.2766973
RM	2024-11-30	00:01:20.00	1222985050	36.462152	127.2767107
RM	2024-11-30	00:01:20.00	1222985050	36.46214024	127.2767231
RM	2024-11-30	00:01:20.00	1222985050	36.46212726	127.2767368
RM	2024-11-30	00:01:20.00	1222985050	36.4621145	127.2767504
RM	2024-11-30	00:01:20.00	1222985050	36.4621028	127.2767629
RM	2024-11-30	00:01:20.00	1222985050	36.46208981	127.2767769
RM	2024-11-30	00:01:20.00	1222985050	36.46207809	127.2767895
RM	2024-11-30	00:01:20.00	1222985050	36.46206534	127.2768033
RM	2024-11-30	00:01:20.00	1222985050	36.46205367	127.2768159
RM	2024-11-30	00:01:20.00	1222985050	36.46204076	127.2768299
RM	2024-11-30	00:01:20.00	1222985050	36.4620291	127.2768427
RM	2024-11-30	00:01:20.00	1222985050	36.46201636	127.2768566
RM	2024-11-30	00:01:20.00	1222985050	36.46200466	127.2768694
RM	2024-11-30	00:01:20.00	1222985050	36.46199169	127.2768836
RM	2024-11-30	00:01:20.00	1222985050	36.46198	127.2768964
RM	2024-11-30	00:01:20.00	1222985050	36.46196727	127.2769104
