구분	일자	일시	차량구분	위도	경도
RM	2024-11-30 00:01:19.00	1222985050		37.51544321	126.8880085
RM	2024-11-30 00:01:19.00	1222985050		37.51627795	126.8883808
RM	2024-11-30 00:01:19.00	1222985050		37.51938935	126.8893362
RM	2024-11-30 00:01:19.00	1222985050		37.51950374	126.889298
RM	2024-11-30 00:01:19.00	1222985050		37.52066385	126.8895743
RM	2024-11-30 00:01:19.00	1222985050		37.52066432	126.8895736
RM	2024-11-30 00:01:19.00	1222985050		37.52116779	126.8896488
RM	2024-11-30 00:01:19.00	1222985050		37.52130404	126.8896846
RM	2024-11-30 00:01:19.00	1222985050		37.52130373	126.8896845
RM	2024-11-30 00:01:19.00	1222985050		37.52254754	126.8900692
RM	2024-11-30 00:01:19.00	1222985050		37.52266774	126.8901089
RM	2024-11-30 00:01:19.00	1222985050		37.52429491	126.8905375
RM	2024-11-30 00:01:19.00	1222985050		37.52571754	126.890909
RM	2024-11-30 00:01:19.00	1222985050		37.52642121	126.891076
RM	2024-11-30 00:01:19.00	1222985050		37.52668043	126.8911306
RM	2024-11-30 00:01:19.00	1222985050		37.52713846	126.8912414
RM	2024-11-30 00:01:19.00	1222985050		37.52724144	126.8912594
RM	2024-11-30 00:01:19.00	1222985050		37.52786772	126.8915005
RM	2024-11-30 00:01:19.00	1222985050		37.5274332	126.8913361
RM	2024-11-30 00:01:19.00	1222985050		37.52659019	126.8911629
RM	2024-11-30 00:01:19.00	1222985050		37.52630382	126.8911433
RM	2024-11-30 00:01:19.00	1222985050		37.52565789	126.8909964
RM	2024-11-30 00:01:19.00	1222985050		37.52531598	126.8907956
RM	2024-11-30 00:01:19.00	1222985050		37.52401597	126.8904658
RM	2024-11-30 00:01:19.00	1222985050		37.5232861	126.8903006
RM	2024-11-30 00:01:19.00	1222985050		37.52266354	126.8901409
RM	2024-11-30 00:01:19.00	1222985050		37.52256259	126.8901144
RM	2024-11-30 00:01:19.00	1222985050		37.522423	126.890103
RM	2024-11-30 00:01:19.00	1222985050		37.52237348	126.8900882
RM	2024-11-30 00:01:19.00	1222985050		37.52216791	126.8902686
RM	2024-11-30 00:01:19.00	1222985050		37.52185403	126.8926489
RM	2024-11-30 00:01:19.00	1222985050		37.52183358	126.8926708
RM	2024-11-30 00:01:19.00	1222985050		37.52179934	126.8928029
RM	2024-11-30 00:01:19.00	1222985050		37.5210545	126.8977888
RM	2024-11-30 00:01:19.00	1222985050		37.51878603	126.901163
RM	2024-11-30 00:01:19.00	1222985050		37.51868904	126.9011877
RM	2024-11-30 00:01:19.00	1222985050		37.51835349	126.9014462
RM	2024-11-30 00:01:19.00	1222985050		37.51816125	126.9034614
RM	2024-11-30 00:01:19.00	1222985050		37.51810443	126.9039283
RM	2024-11-30 00:01:19.00	1222985050		37.51763137	126.9059879
RM	2024-11-30 00:01:19.00	1222985050		37.51657565	126.9065135
RM	2024-11-30 00:01:19.00	1222985050		37.5161112	126.9065458
RM	2024-11-30 00:01:19.00	1222985050		37.51617947	126.9057828
RM	2024-11-30 00:01:19.00	1222985050		37.51614128	126.9056755
RM	2024-11-30 00:01:19.00	1222985050		37.51585936	126.9048463
RM	2024-11-30 00:01:19.00	1222985050		37.51570407	126.9043907
RM	2024-11-30 00:01:19.00	1222985050		37.51579589	126.9026039
RM	2024-11-30 00:01:19.00	1222985050		37.51778819	126.9015894
RM	2024-11-30 00:01:19.00	1222985050		37.51789283	126.9015312
RM	2024-11-30 00:01:19.00	1222985050		37.51854834	126.8997089
